date,GOOGL,MSFT,FB,ORCL,INTC,CSCO,IBM,QCOM,TXN,AVGO,NVDA,ADBE,CRM,ADP,ITW,YHOO
20140221,-0.000266,0.006093,-0.014936,-0.004442,-0.012935,-0.007623,-0.007978,-0.004477,-0.001131,-0.007627,-0.007455,-0.003797,0.009205,-0.004052,0.008915,-0.013231
20140224,0.007244,-0.007636,0.031929,0.00105,0.008599,-0.000452,0.003611,-0.002381,0.006795,0.017421,0.014485,0.007989,0.005032,0.007874,0.003191,0.003486
20140225,0.006177,-0.00398,-0.013139,0.002884,-0.000406,-0.012658,-0.001199,-0.006894,0.00045,-0.009569,-0.00899,-0.010979,-0.003912,0.002734,0.001468,-0.004276
20140226,0.000139,-0.001865,-0.008447,0.006536,0.007311,0.004121,0.00453,0.001869,0.003598,0.049153,-0.001601,-0.002794,0.001257,0.005324,0.007207,0.009662
20140227,-0.000787,0.010408,-0.00462,0.011688,-0.001613,-0.000456,0.006574,0.001865,0.003361,-0.008401,-0.011224,0.030964,0.038908,0.003875,-0.002668,0.022594
20140228,-0.00292,0.011886,-0.006963,0.004108,0.0,-0.005474,-0.00054,0.00133,0.00402,0.005213,-0.006487,-0.01845,-0.05814,0.000772,0.003283,0.005199
20140303,-0.010661,-0.013835,-0.015337,-0.015341,-0.010501,-0.01055,-0.004914,-0.022048,-0.008452,0.000648,-0.004897,-0.01122,-0.014109,-0.014271,-0.008,-0.010861
20140304,0.010161,0.016676,0.02062,0.023371,0.00449,0.01159,0.011831,0.033682,0.015253,0.026077,0.010388,0.010905,0.025695,0.023216,0.009042,0.036078
20140305,0.002757,-0.00781,0.040262,0.002284,-0.00447,0.002292,0.003755,0.007358,-0.001768,-0.004262,0.008658,0.004373,0.009672,-0.009305,-0.002422,-0.00328
20140306,0.001108,0.00105,-0.0102,-0.001013,0.005306,-0.002286,0.002672,0.004304,0.011067,0.008878,-0.013949,0.00029,-0.00848,0.003989,-0.000121,0.004051
20140307,-0.003952,-0.006553,-0.014681,-0.015965,0.000406,-0.004125,0.000213,-0.002727,0.003722,-0.013985,-0.001088,-0.005804,-0.038011,0.006792,0.004977,-0.024208
20140310,-0.002651,-0.002111,0.031948,0.000773,0.008117,-0.001841,-0.006873,0.003646,0.000436,0.000797,-0.014706,-0.007005,-0.015805,-0.004455,-0.006161,-0.016793
20140311,-0.009558,0.005288,-0.026794,0.001029,-0.004428,-0.003688,0.001985,-0.004671,-0.00436,-0.01242,0.00995,-0.008377,0.020743,-0.003964,-0.003646,-0.012878
20140312,0.006092,0.006575,0.011126,-0.009769,0.001213,0.009718,-0.002891,0.003389,0.016641,0.018704,0.002737,0.008745,0.008194,-0.002696,0.001586,-0.001597
20140313,-0.015108,-0.009929,-0.028921,-0.022586,-0.007674,-0.013749,-0.012458,-0.017409,-0.031014,-0.007914,-0.031659,-0.014399,-0.039987,-0.00901,-0.012424,-0.0072
20140314,-0.013675,-0.005014,-0.016127,-0.001328,-0.002849,-0.007904,-0.00919,-0.011768,-0.015114,0.0,0.00451,0.00164,-0.015239,0.007274,-0.009743,0.009938
20140317,0.016456,0.009284,0.015061,0.016489,0.008163,0.007499,0.019757,0.030506,0.021666,0.011646,0.0,0.014585,0.002751,0.012121,0.018558,0.04016
20140318,0.016073,0.039422,0.006548,0.016222,0.004858,0.005579,0.005382,0.005583,0.002872,0.006466,0.023569,0.005134,0.022462,0.00637,-0.000245,0.008693
20140319,-0.009915,-0.00708,-0.01373,-0.007467,0.008058,0.0,-0.011241,-0.008328,0.002643,0.009245,0.01727,-0.012989,-0.020124,-0.008862,-0.013332,-0.021293
