date,AAPL,MSFT,XOM,AMZN,JNJ,JPM,GE,WFC,FB,GOOG,T,GOOGL,PG,SPY,BAC,CVX,VZ,WMT,BRK,PFE,BRK,KO,INTC,C,BUD,DIS,CMCSA,HD,MRK,IBM,ORCL,UNH,CSCO,PEP,V,PM,MO,SLB,MA,AMGN,MMM,ABBV,MCD,RY,MDT,BMY,QCOM,BA,GS,GILD,TD,IVV,UTX,CELG,WBA,HON,USB,UNP,CVS,LLY,SBUX,RAI,MS,UPS,AGN,CHTR,TWX,LMT,TXN,ACN,PCLN,UN,COST,AVGO,VTI,MDLZ,NKE,AXP,BNS,AIG,DOW,DD,COP,LOW,BIIB,BLK,CB,UBS,EFA,MET,EOG,CL,NVDA,PNC,EPD,VOO,ABT,SPG,NEE
20150116,-0.00777,0.016711,0.024281,0.013208,0.015123,0.017094,0.000424,0.018139,0.01526,0.012535,0.016236,0.012787,0.015468,0.013115,0.011842,0.023863,0.018896,-0.006981,0.011045,0.012346,0.011045,0.003539,0.007184,0.008046,0.024247,0.008797,0.01375,0.030789,0.018584,0.016627,0.020643,0.012541,0.00985,0.006414,0.00719,-0.001449,0.011054,0.061334,0.018845,0.042851,0.014656,0.026236,0.001204,0.004778,0.011961,0.011034,-0.001261,0.004918,-0.007059,0.033984,0.005034,0.012822,0.023168,0.029932,0.016716,0.01143,0.014167,0.009928,0.016157,0.013479,0.012943,0.005057,0.008965,0.009241,0.018616,0.003863,0.009221,0.012164,0.017181,0.008166,0.009987,0.015488,0.002943,0.024674,0.013247,0.010947,0.001939,0.001863,0.004096,0.014087,0.034172,0.015038,0.027194,0.024717,0.037866,0.016411,0.020944,-0.018149,0.012998,0.02105,0.043684,0.012441,0.018367,0.024509,0.045303,0.012381,0.012287,0.003649,0.011024
20150120,0.025757,0.003244,-0.000329,-0.004471,-0.026432,-0.003934,0.011022,0.006971,0.014099,-0.002322,0.004438,-0.001009,-0.000658,0.002108,-0.007802,0.012842,0.003959,-0.000922,-0.003887,0.009146,-0.003887,0.014813,-0.009877,-0.007351,-0.002308,-0.004623,-0.01691,-0.008356,-0.006663,-0.001209,0.008964,-0.001418,0.01409,0.002261,0.007413,0.010641,0.014703,-0.010451,0.005489,-0.005239,-0.00037,-0.016889,-0.007542,-0.013156,-0.007697,0.002247,0.016692,0.003364,-0.009028,0.030484,-0.006916,0.002463,0.011881,0.011822,0.000263,0.007738,-0.007466,0.01832,-0.003747,0.0191,0.007629,0.013912,-0.004013,0.009157,0.00622,-0.030911,-0.034023,0.005341,0.009759,-0.003037,0.016594,-0.003444,-0.002433,0.010114,0.001443,0.002166,0.006667,0.014179,-0.011849,-0.009,-0.014735,0.001481,0.001744,-0.021621,0.029851,-0.004252,-0.008709,0.020333,0.003455,-0.005103,-0.010851,-0.003036,0.003006,0.002132,-0.004363,0.002489,-0.006069,-0.005827,0.006561
20150121,0.007634,-0.010132,0.008563,0.026983,0.006022,0.003231,0.007966,0.001923,0.006558,0.021977,0.001473,0.020493,-0.005044,0.005073,0.00983,0.015873,0.001453,-0.000577,-0.00782,-0.013897,-0.00782,0.004634,0.010806,0.010157,0.008652,-0.006016,-0.000717,0.002712,-0.007187,-0.030965,-0.009339,0.035031,-0.008194,-0.001128,0.001713,0.011606,0.008174,0.021496,-0.006409,-0.001396,0.003705,-0.01182,-0.005066,-0.001606,0.011911,-0.008006,-0.012279,0.009069,0.008654,-0.001927,-0.008165,0.004914,0.012763,-0.008357,-0.006049,0.002728,0.024023,0.003949,0.011487,0.002915,0.0008,0.003795,-0.000576,0.003324,0.025129,-0.002434,0.004729,-0.001277,0.008828,-0.00316,0.020079,0.006171,-0.001722,0.004863,0.004512,0.003512,-0.001068,0.004699,0.001966,0.003554,0.013823,-0.002421,0.021364,0.012027,-0.004005,0.008396,0.000634,0.013889,0.007869,0.010874,0.013545,-0.008846,0.013986,0.001891,0.042945,0.005236,-0.003618,0.002955,0.008813
20150122,0.026016,0.02635,0.010885,0.04397,0.018253,0.030417,0.009983,0.032054,0.011858,0.031561,-0.006176,0.032495,0.009809,0.014871,0.044127,0.007027,-0.009326,0.01916,0.020179,0.005208,0.020179,0.009686,0.011787,0.038333,0.010191,0.010407,0.014345,0.024534,0.006918,0.021698,0.012876,0.041438,0.023707,0.0154,0.001244,0.007215,0.007186,-0.000851,0.007883,0.013915,0.02061,0.004466,0.006088,-0.030566,0.033124,0.00226,0.0044,0.024394,0.027604,0.015061,0.011622,0.01467,0.01193,0.012191,0.005689,0.001411,0.029147,0.047465,0.007839,0.003045,0.017837,0.006107,0.023035,0.023012,0.008123,0.020803,0.012263,0.013248,0.012712,0.013131,0.003969,0.002944,0.015308,-0.001708,0.015195,0.011844,0.025024,-0.037641,0.009221,0.028526,0.013858,0.012267,0.011776,0.033125,-0.022594,0.032303,0.026144,0.026802,0.003741,0.019079,-0.001988,0.014192,0.017241,0.026893,-0.013445,0.015304,0.009759,0.019029,-0.003094
20150123,0.00516,0.001061,-0.02132,0.006671,-0.015035,-0.015801,0.008237,-0.009485,0.002318,0.010404,-0.01243,0.008654,-0.016809,-0.005483,-0.022374,-0.019005,-0.013598,0.002378,-0.005175,-0.010972,-0.005175,-0.010735,-0.012598,-0.019165,0.008155,-0.004519,-0.004596,-0.006599,-0.001598,0.003089,0.003178,-0.016249,-0.010175,-0.003741,0.002679,-0.027478,-0.008599,-0.001704,0.000119,0.001504,-0.011273,-0.008733,-0.014633,0.0078,0.019475,-0.000322,0.003755,-0.00752,-0.008515,0.003804,0.010771,-0.005349,-0.003902,0.001455,-0.005656,0.031291,-0.002533,0.00217,0.003391,-0.004554,0.066232,-0.002602,-0.010695,-0.099081,0.006194,-0.000377,-0.021415,-0.003281,0.001637,-0.003128,-0.011137,0.010274,0.005521,0.01692,-0.004519,-0.017292,0.003234,-0.002845,-0.000778,-0.014728,-0.017416,-0.017312,-0.009954,0.0023,0.010971,-0.015716,-0.004799,0.0058,-0.005672,-0.02868,0.004759,-0.031448,0.002906,-0.008959,0.001136,-0.0055,-0.014161,-0.004509,-0.000639
20150126,0.001062,-0.003603,0.009572,-0.008739,0.000587,0.001588,0.004493,0.006008,-0.004304,-0.008779,-0.005694,-0.00965,-0.005551,0.002342,0.007629,0.018999,-0.00403,0.001356,0.003889,0.010786,0.003889,-0.007158,-0.017561,0.005553,0.00959,0.002639,0.006748,0.009395,0.005281,0.003144,-0.006563,-0.003482,-0.008508,0.001624,-0.006814,0.002777,0.004613,0.020488,-0.009361,-0.000501,0.001341,0.006407,0.012394,-0.005269,-0.017674,0.006283,0.006027,-0.004085,-0.000388,0.014876,-0.003315,0.002665,-0.010252,0.001857,0.003307,-0.005951,0.004848,0.010326,0.003876,-0.000277,-0.001134,0.014635,-0.001138,-0.005635,0.021138,-0.004719,0.012505,-0.008914,-0.000182,-0.001569,0.003728,0.033656,0.006019,-0.002337,0.004161,-0.009745,0.001976,-0.009866,-0.008755,-0.005824,-0.000224,0.004337,0.018097,0.010472,0.013733,0.006392,0.000177,-0.00519,0.01369,0.00041,0.016962,-0.01266,-0.004587,0.005795,-0.009643,0.001968,0.006612,0.010093,0.002466
20150127,-0.035013,-0.092533,-0.008827,-0.009397,-0.001662,-0.010041,-0.00854,-0.011385,-0.022131,-0.030979,-0.011151,-0.028935,-0.034494,-0.013191,-0.01388,-0.005694,-0.01299,-0.012411,-0.011923,-0.006098,-0.011923,-0.014186,-0.045245,-0.011863,-0.001735,-0.01053,-0.005909,-0.011282,-0.004139,-0.017204,-0.01139,-0.014336,-0.038255,-0.019962,-0.021596,-0.017459,0.002204,0.010397,-0.02189,-0.005259,-0.003714,0.004297,-0.012132,0.002152,-0.004366,-0.007525,-0.011569,-0.01186,-0.021782,-0.019419,0.000238,-0.013434,0.003453,-0.01418,-0.011999,-0.009716,-0.012635,-0.003874,-0.001881,-0.00527,0.002497,-0.007855,-0.012817,-0.014656,-0.00913,-0.011095,-0.004076,-0.026216,-0.003996,-0.03278,-0.026875,0.009604,-0.0134,-0.018177,-0.011677,-0.013669,-0.019201,-0.010804,0,-0.01445,-0.008752,-0.012549,-0.004254,-0.008376,-0.012554,-0.016537,-0.006971,-0.005217,0.001447,-0.013527,0.007257,-0.009504,-0.047781,-0.01475,-0.001718,-0.013109,-0.010646,-0.00234,0.013394
20150128,0.056533,-0.034459,-0.032985,-0.009258,-0.005975,-0.025801,-0.022149,-0.015292,0.00607,-0.01664,-0.003962,-0.016808,-0.015493,-0.012824,-0.027511,-0.042028,-0.006472,-0.008111,-0.019438,-0.019939,-0.019438,-0.011088,-0.011994,-0.02484,-0.00422,-0.013834,-0.031319,-0.003994,-0.017743,-0.013796,-0.01636,-0.01409,-0.003532,-0.010339,-0.018447,-0.0125,-0.010081,-0.044944,-0.012596,-0.026748,0.001895,-0.01981,-0.00882,-0.025273,-0.024581,-0.010647,-0.010868,0.054046,-0.019491,-0.024564,-0.028979,-0.012931,-0.018798,-0.027705,-0.015481,-0.010704,-0.020475,-0.014149,-0.012101,-0.010595,-0.008773,-0.00475,-0.025678,-0.015369,-0.015017,-0.037238,-0.021701,-0.006822,-0.016323,-0.020891,-0.010465,-0.010209,-0.009717,0.002004,-0.01353,-0.011502,-0.012593,-0.008131,-0.02002,-0.024965,-0.025809,-0.020087,-0.045163,-0.009019,-0.018749,-0.018351,-0.009554,-0.032634,-0.01493,-0.026802,-0.052688,-0.008224,-0.016302,-0.021637,-0.04389,-0.013177,-0.006181,-0.005716,-0.011689
20150129,0.031134,0.019908,-0.004207,0.025896,0.008869,0.016804,0.010067,0.011503,0.023085,0.001294,0.008568,0.001561,0.006107,0.009245,0.015132,-0.006846,0.001303,0.010366,0.013069,-0.003756,0.013069,0.004294,0.012879,0.010826,0.025924,0.005935,-0.013189,0.027497,0.010415,0.025932,0.003982,0.008575,0.015482,0.003239,0.006657,0.007942,0.007036,0.014242,0.007927,0.011187,0.013359,0.020534,0.050574,-0.004406,-0.005449,-0.003098,-0.102831,0.058293,0.016989,0.016886,0.001712,0.009577,-0.00402,0.01597,0.010845,0.003506,0.011164,0.007889,0.005121,0.016063,0.016959,0.007955,0.017767,0.011279,0.000135,0.009861,0.010648,0.017173,0.013627,0.015173,0.011453,0.028598,0.007306,0.014571,0.009562,0.002103,0.016719,0.003304,-0.008011,0.001016,0.046014,0.013945,0.003835,0.010257,0.005894,0.005536,0.009154,0.01506,0.01369,0.00064,0.009194,0.060043,0.02434,0.022594,0.030903,0.009701,0.042617,0.006142,0.01583
20150130,-0.014634,-0.038324,-0.001827,0.137116,-0.021879,-0.023172,-0.00789,-0.015921,-0.026795,0.046724,-0.001214,0.047386,-0.016108,-0.012576,-0.018147,-0.004563,-0.008675,-0.031236,-0.016269,-0.018222,-0.016269,-0.02209,-0.0342,-0.01407,-0.011339,-0.024244,-0.013458,-0.029734,-0.029151,-0.013957,-0.022632,-0.028705,-0.031411,-0.02343,0.027863,-0.012066,-0.023718,0.005983,0.007987,-0.026284,-0.023054,-0.043885,-0.008899,-0.036766,-0.022052,-0.01423,-0.019312,-0.016308,-0.020342,0.006239,-0.02735,-0.012681,-0.014341,-0.014147,-0.010996,-0.024059,-0.015504,-0.023982,-0.019479,-0.001525,-0.017069,-0.024968,-0.016293,-0.015734,-0.014074,-0.006378,-0.022576,-0.021455,-0.022316,-0.0188,-0.005184,-0.011623,0.016709,-0.034263,-0.013586,-0.01399,-0.027617,-0.015976,-0.030083,-0.007917,0.003333,-0.02063,0.002547,-0.031031,0.101656,-0.018533,-0.019704,-0.010089,-0.015756,-0.007894,0.00135,-0.021875,-0.02907,-0.01169,0.002328,-0.012306,-0.011047,-0.029791,-0.021673
